"highest_infection_count","location","population","infected_percentage"
10997,"Papua New Guinea",8947027,0.12291233724901020200
29811,"Australia",25499881,0.11690642791627145200
13056,"Haiti",11402533,0.11450087449867498700
6898,"Nicaragua",6624554,0.10412776467668615900
3671,"Eritrea",3546427,0.10351263398344305400
1209,"Mauritius",1271767,0.09506458337101057000
10583,"South Sudan",11193729,0.09454400763141576900
65153,"Thailand",69799978,0.09334243629704295900
41866,"Uganda",45741000,0.09152838809820511100
13915,"Somalia",15893219,0.08755306272442354200
44,"Saint Kitts and Nevis",53192,0.08271920589562340200
26652,"Angola",32866268,0.08109226152479496600
13402,"Cambodia",16718971,0.08016043571102551700
165110,"Nigeria",206139587,0.08009621169950243500
33944,"Sudan",43849269,0.07741064052857984900
13858,"Mali",20250834,0.06843174952695775400
7821,"Benin",12123198,0.06451268056497963700
13310,"Burkina Faso",20903278,0.06367422372701544700
2613,"New Zealand",4822233,0.05418651483659126400
224,"Brunei",437483,0.05120198956302302000
4054,"Sierra Leone",7976985,0.05082120625775277300
2099,"Liberia",5057677,0.04150126629280596600
3995,"Burundi",11890781,0.03359745671878070900
29853,"Democratic Republic of Congo",89561404,0.03333243860268202100
4817,"Chad",16425859,0.02932571136766728600
5228,"Niger",24206636,0.02159738346129548900
6317,"Yemen",29825968,0.02117953053527047300
117,"Fiji",896444,0.01305156819611710300
757,"Laos",7275556,0.01040470309073285900
102494,"China",1439323774,0.007120982912354784740700
4,"Marshall Islands",59194,0.006757441632597898435700
1128,"Taiwan",23816775,0.004736157603201944847700
2928,"Vietnam",97338583,0.003008056938737232285400
20,"Solomon Islands",686878,0.002911725226313843215200
3,"Samoa",198410,0.001512020563479663323400
4,"Vanuatu",307150,0.001302295295458245157100
1,"Micronesia (country)",115021,0.000869406456212343832900
509,"Tanzania",59734213,0.000852107987092757043600
